organization_group_id,organization_group_name,petitioner_company_id,petitioner_company_name,petitioner_company_of_primary_beneficiary,beneficiary_id,beneficiary_type,beneficiary_record_opened_date,beneficiary_status,beneficiary_record_retired_date,beneficiary_last_name,beneficiary_first_name,beneficiary_full_name,primary_beneficiary_id,primary_beneficiary_last_name,primary_beneficiary_first_name,relation,gender,date_of_birth,country_of_birth,country_of_citizenship,alien_number,date_of_last_entry_into_the_us,i94_number,i94_status,i94_valid_from,i94_exp_date,current_status,current_status_exp_date,i797_valid_from,i797_exp_date,final_niv_hl_status_valid_from,final_niv_maxout_date,i129s_exp_date,ped_petition_end_date,ead_type,ead_exp_date,ap_exp_date,ds2019_valid_from,ds2019_exp_date,re_entry_permit_exp_date,green_card_exp_date,passport_number,passport_issuing_country,passport_valid_from,passport_exp_date,visa_type,visa_issue_date,visa_exp_date,visa_priority_green_card_method,primary_visa_priority_date,primary_visa_priority_category,primary_visa_country_of_chargeability,visa_priority_note,track_filed,green_card_method,employee_id,work_email_id,current_employer,management_info_employee_id,management_info_department,management_info_dept_group,management_info_dept_number,business_unit_code,hr_info_client_billing_code,job_title,job_location_street,job_location_city,job_location_state,hire_date,management_info_manager,management_info_manager_email,management_info_second_level_manager,management_info_second_level_manager_email,management_info_partner_name,management_info_partner_email,management_info_cost_center,management_info_cost_center_number,management_info_client_billing_code,management_info_business_unit_code,management_info_job_title,management_info_job_status,management_info_job_code,management_info_job_start_date,management_info_job_end_date,management_info_work_address,management_info_job_location_city,management_info_job_location_state
,,625365123,"Charter Communications, Inc.",,626104580,Primary,8/1/2016,Active,0100-01-01,LN 1,FN 1,"LN 1, FN 1",,,,,M,1/1/1986,India,India,123456789,9/5/2019,216349091A2,H-1B,9/5/2019,3/18/2024,H-1B,3/18/2024,0100-01-01,3/18/2024,0100-01-01,4/4/4000,0100-01-01,0100-01-01,,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,M123456,INDIA,7/15/2019,7/14/2029,,8/20/2019,3/18/2021,AOS,12/10/2015,Emp: 2nd,India,I-140 w/prior ER; PERM in process [10.19.21 KAP],0,AOS,1193204,test1@email.com,"Charter Communications, Inc.",1193204,,Spectrum Enterprise,,Spectrum Enterprise,,,,,,1/1/2014,L1Manager 1,,L2Manager 1,,HRBP 1,,,,,Spectrum Enterprise,,,,1/1/2014,0100-01-01,,,
,,625365123,"Charter Communications, Inc.",,626215493,Primary,9/22/2016,Active,0100-01-01,LN 2,FN 2,"LN 2, FN 2",,,,,M,1/2/1986,INDIA,INDIA,,3/24/2019,79812642356,H-1B,3/24/2019,9/30/2022,H-1B,9/30/2022,0100-01-01,9/30/2022,0100-01-01,9/30/2022,0100-01-01,0100-01-01,,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,NA,United States of America,0100-01-01,0100-01-01,,10/16/2019,9/30/2022,AOS,0100-01-01,,INDIA,No priority date,1,AOS,1528366,test2@email,"Charter Communications, Inc.",1528366,Charter,APO,,Network Operations,,,,,,11/21/2016,L1Manager 2,,L2Manager 2,,HRBP 2,,,,,Network Operations,,,,11/21/2016,0100-01-01,,,
,,625365123,"Charter Communications, Inc.",,626215552,Primary,9/22/2016,Active,0100-01-01,LN 3,FN 3,"LN 3, FN 3",,,,,M,1/3/1986,INDIA,INDIA,123456789,9/25/2017,62617010685,H-1B,9/25/2017,12/11/2022,H-1B,12/1/2022,0100-01-01,12/1/2022,4/9/2007,4/4/4000,0100-01-01,0100-01-01,,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,M123456,INDIA,1/6/2012,1/5/2022,,9/6/2017,3/31/2020,AOS,5/23/2011,Emp: 3rd,INDIA,I-140 w/prior ER; PERM in process [10.13.21 KAP],0,AOS,1163058,test1@email.com,"Charter Communications, Inc.",1163058,Charter,IT,,Product & Technology,,,,,,12/16/2019,L1Manager 3,,L2Manager 3,,HRBP 3,,,,,Product & Technology,,,,12/16/2019,0100-01-01,,,
,,625365123,"Charter Communications, Inc.",,626218594,Primary,9/29/2016,Active,0100-01-01,LN 4,FN 4,"LN 4, FN 4",,,,,M,1/4/1986,INDIA,INDIA,,2/14/2019,73429739256,H-1B,2/14/2019,4/19/2023,H-1B,4/19/2023,0100-01-01,4/19/2023,4/16/2011,4/4/4000,0100-01-01,0100-01-01,,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,NA,United States of America,0100-01-01,0100-01-01,,4/17/2017,12/22/2019,AOS,1/14/2016,Emp: 2nd,INDIA,I-140 w/prior ER; PERM in process [10.13.21 KAP],0,AOS,1210335,test2@email,"Charter Communications, Inc.",1210335,TWC,Product,,Product & Technology,,,,,,2/9/2015,L1Manager 4,,L2Manager 4,,HRBP 4,,,,,Product & Technology,,,,2/9/2015,0100-01-01,,,
,,625365123,"Charter Communications, Inc.",,626238017,Primary,1/25/2017,Active,0100-01-01,LN 5,FN 5,"LN 5, FN 5",,,,,M,1/5/1986,India,India,123456789,8/31/2011,65710591024,H-1B,8/31/2011,3/5/2023,H-1B,3/5/2023,0100-01-01,3/5/2023,0100-01-01,4/4/4000,0100-01-01,3/5/2023,,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,M123456,INDIA,10/3/2018,10/2/2028,,,,AOS,5/14/2015,Emp: 2nd,India,I-140 w/prior ER; PERM in process [10.13.21 KAP],0,AOS,6011619,test1@email.com,"Charter Communications, Inc.",6011619,Charter,Product,,Product & Technology,,,,,,5/1/2017,L1Manager 5,,L2Manager 5,,HRBP 5,,,,,Product & Technology,,,,5/1/2017,0100-01-01,,,
,,625365123,"Charter Communications, Inc.",,626258790,Primary,3/2/2017,Active,0100-01-01,LN 6,FN 6,"LN 6, FN 6",,,,,M,1/6/1986,INDIA,INDIA,123456789,3/10/2019,77506824156,H-1B,3/10/2019,1/3/2024,H-1B,1/3/2024,0100-01-01,1/3/2024,0100-01-01,1/3/2024,0100-01-01,0100-01-01,,1/31/2018,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,M123456,INDIA,5/28/2013,5/27/2023,,9/7/2018,8/29/2020,AOS,0100-01-01,,INDIA,,1,AOS,6010036,test2@email,"Charter Communications, Inc.",6010036,Charter,Business Intelligence,,Corporate,,,,,,2/3/2017,L1Manager 6,,L2Manager 6,,HRBP 6,,,,,Corporate,,,,2/3/2017,0100-01-01,,,
,,625365123,"Charter Communications, Inc.",,626260769,Primary,3/14/2017,Active,0100-01-01,LN 7,FN 7,"LN 7, FN 7",,,,,M,1/7/1986,INDIA,INDIA,,2/9/2019,72632074256,H-1B,2/9/2019,3/27/2023,H-1B,3/27/2023,0100-01-01,3/27/2023,0100-01-01,4/4/4000,0100-01-01,0100-01-01,,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,M123456,INDIA,3/29/2017,3/28/2027,,1/22/2019,3/27/2020,AOS,4/28/2016,Emp: 3rd,INDIA,I-140 w/prior ER; PERM in process [10.8.21 KAP],0,AOS,6019017,test1@email.com,"Charter Communications, Inc.",6019017,Charter,Engineering,,Product & Technology,,,,,,5/15/2017,L1Manager 7,,L2Manager 7,,HRBP 7,,,,,Product & Technology,,,,5/15/2017,0100-01-01,,,
,,625365123,"Charter Communications, Inc.",,626302166,Primary,5/1/2017,Active,0100-01-01,LN 8,FN 8,"LN 8, FN 8",,,,,F,1/8/1986,India,India,,3/19/2018,91803288685,H-1B,3/19/2018,11/4/2022,H-1B,11/4/2022,0100-01-01,11/4/2022,0100-01-01,11/4/2022,0100-01-01,0100-01-01,,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,M123456,INDIA,8/22/2011,8/21/2021,,3/1/2018,5/21/2020,AOS,0100-01-01,,INDIA,,1,AOS,6025609,test2@email,"Charter Communications, Inc.",6025609,Charter,CBO,,Network Operations,,,"Greenwood Village, CO",,,6/26/2017,L1Manager 8,,L2Manager 8,,HRBP 8,,,,,Network Operations,,,,6/26/2017,0100-01-01,"Greenwood Village, CO",,
,,625365123,"Charter Communications, Inc.",,626358046,Primary,7/27/2017,Active,0100-01-01,LN 9,FN 9,"LN 9, FN 9",,,,,M,1/9/1986,LIBYA,Libya,,9/19/2014,39811659330,,9/19/2014,8/5/2022,H-1B,8/5/2022,0100-01-01,8/5/2022,0100-01-01,9/30/2025,0100-01-01,0100-01-01,,7/20/2020,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,M123456,Libya,1/24/2008,1/19/2021,,3/27/2014,3/24/2015,AOS,0100-01-01,,LIBYA,,1,AOS,6030788,test1@email.com,"Charter Communications, Inc.",6030788,Charter,Engineering,,Product & Technology,,,,,,8/21/2017,L1Manager 9,,L2Manager 9,,HRBP 9,,,,,Product & Technology,,FY 2020,,8/21/2017,0100-01-01,,,
,,625365123,"Charter Communications, Inc.",,626366049,Primary,8/28/2017,Active,0100-01-01,LN 10,FN 10,"LN 10, FN 10",,,,,M,1/10/1986,INDIA,India,,1/23/2019,69802147356,H-1B,1/23/2019,9/10/2023,H-1B,9/10/2023,0100-01-01,9/10/2023,0100-01-01,4/4/4000,0100-01-01,0100-01-01,,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,0100-01-01,NA,United States of America,0100-01-01,0100-01-01,,1/3/2019,9/10/2020,AOS,6/14/2016,Emp: 2nd,INDIA,I-140 w/prior ER; PERM in process [10.13.21 KAP],0,AOS,6037796,test2@email,"Charter Communications, Inc.",6037796,Charter,IT,,Product & Technology,,,,,,10/23/2017,L1Manager 10,,L2Manager 10,,HRBP 10,,,,,Product & Technology,,,,10/23/2017,0100-01-01,,,
